srno,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,,
1,0.259,2020,0.994,['Phoebe Bridgers'],0.328,344693,0.32,0,3cr3oAP4bQFNjZBV7ElKaB,0.019,1,0.234,-10.282,1,I Know The End,66,6/18/2020,0.035,111.453,,
2,0.362,2020,0.974,['Dan + Shay'],0.42,195067,0.466,0,6DeGFcrDiYDuyV7e7KnqPd,0,7,0.163,-6.104,1,Christmas Isn't Christmas,55,11/20/2020,0.0293,78.787,,
3,0.605,2020,0.968,"['Alesso', 'Charlotte Lawrence']",0.639,206308,0.711,0,4w7vZjpsnpKizj7NE0Nuld,0,0,0.142,-4.244,1,THE END,70,10/30/2020,0.0315,102.95,,
4,0.558,2020,0.886,['Brent Faiyaz'],0.743,215058,0.548,0,0dJhXJKZTpiaxTUc7uItIN,0.00018,6,0.088,-6.545,0,Let Me Know,65,2/7/2020,0.0947,85.017,,
5,0.697,2020,0.815,['Ozuna'],0.735,217240,0.791,0,5Jm4w8jmPEBTLjI9vH4fXo,0.000146,6,0.145,-4.462,1,Caramelo,80,9/4/2020,0.0679,168.087,,
6,0.77,2020,0.719,"['Quinn XCII', 'Logic']",0.822,212013,0.834,1,73681b7Hc0THHGZrSzl75y,0,6,0.0461,-2.879,0,A Letter To My Younger Self (feat. Logic),65,7/10/2020,0.0663,115.006,,
7,0.155,2019,0.574,['Cookiee Kawaii'],0.778,84000,0.576,1,4ZAQiu61otvHVveuTsPAUr,0.0044,10,0.116,-8.698,1,Vibe (If I Back It Up),68,8/28/2020,0.301,80.027,,
8,0.629,2019,0.541,"['Rauw Alejandro', 'Myke Towers', 'Sky Rompiendo']",0.809,184817,0.624,1,10u2iOS0r6plfb9GknD7g4,0,8,0.108,-4.963,0,Ponte Pa' Mi,74,4/16/2020,0.155,85.011,,
9,0.323,2019,0.469,['Miley Cyrus'],0.407,290768,0.872,0,6IsiCdn42x5fGWTUqkyDwj,0.0451,7,0.127,-5.001,1,Zombie (Live from the NIVA Save Our Stages Festival),71,10/23/2020,0.0354,164,,
10,0.691,1999,0.41,"['Rauw Alejandro', 'Camilo']",0.721,222680,0.637,0,4G3PTss3mU33Tau7t4KbwE,0,9,0.0525,-5.134,1,Tattoo - Remix with Camilo,71,11/13/2020,0.286,193.922,,
11,0.659,1999,0.381,"['DVBBS', 'Quinn XCII']",0.714,150819,0.798,0,4fCE1SCDulouoac9Q8XroU,0.000678,5,0.103,-4.239,0,West Coast (feat. Quinn XCII),67,10/16/2020,0.0612,119.017,,
12,0.327,1999,0.324,['YoungBoy Never Broke Again'],0.485,156077,0.814,1,3qHgGyJY4GpXNOK4WL4NSo,0,9,0.112,-3.907,1,Red Eye,63,2/21/2020,0.138,159.894,,
13,0.738,2020,0.31,"['Rauw Alejandro', 'Dalex', 'Lenny TavÃ¡rez', 'Farruko', 'Anuel AA', 'Sech', 'DÃ­melo Flow', 'Justin Quiles']",0.788,325692,0.629,1,3oCghu20Kto5Xcu8Pg0cit,0.000828,0,0.0598,-4.727,1,"ElegÃ­ (feat. Farruko, Anuel AA, Sech, DÃ­melo Flow & Justin Quiles) - Remix",75,8/28/2020,0.0883,172.044,,
14,0.352,2020,0.248,['Tate McRae'],0.569,190652,0.271,0,2GSLoT7abyYGchSSDCpWEI,0,10,0.103,-10.969,1,Heather - Spotify Singles,64,11/11/2020,0.0271,91.888,,
15,0.545,2020,0.246,['Polo G'],0.796,176543,0.612,1,6V1Jx3o0S2MtBI9yIDXsJS,0,1,0.0607,-6.994,1,Trials & Tribulations,65,5/15/2020,0.433,87.542,,
16,0.158,2020,0.217,['Chris Renzema'],0.292,254107,0.355,0,5XBbvUfLSFAT5Rh8eudY8G,0,5,0.0931,-7.225,1,Springtime,63,4/24/2020,0.0294,71.041,,
17,0.394,2020,0.206,"['Myke Towers', 'Maluma', 'Farruko']",0.775,250333,0.633,1,70zg99pT51vB4wlMS7e4q7,0,10,0.219,-3.332,0,La Playa - Remix,74,1/3/2020,0.133,140.008,,
18,0.329,2020,0.204,['LPB Poody'],0.903,146688,0.611,1,1FgPyHX7HruKDL4Tx4MeZB,0.000199,10,0.0904,-8.006,0,Address It,68,5/5/2020,0.268,94.525,,
19,0.21,2020,0.201,['Lana Del Rey'],0.234,186000,0.114,0,25Mld9UGdMqXYDU2x8l3ld,0.00391,11,0.103,-19.136,0,Summertime The Gershwin Version,57,11/19/2020,0.0366,189.986,,
20,0.522,2020,0.175,['Pooh Shiesty'],0.819,177110,0.651,1,7w77k7yCaDOMe25fYxnzit,0,10,0.378,-5.859,0,7.62 God,62,7/3/2020,0.291,77.013,,
21,0.694,2020,0.162,"['Loud Luxury', 'Frank Walker', 'Stephen Puth']",0.759,176389,0.845,0,5seWZTjT0U8a7cy3Y5NJQ9,8.65E-05,6,0.215,-6.794,0,Like Gold,69,10/30/2020,0.0421,124,,
22,0.187,2020,0.16,['Bazzi'],0.445,176250,0.33,0,0PUkanqCGTb6qseXPKOw1F,0,9,0.102,-8.121,1,I Don't Think I'm Okay,45,7/9/2020,0.0429,128.025,,
23,0.24,2020,0.133,['Bryson Tiller'],0.467,179188,0.429,0,6Iw6fQVKZi0fWtEQBrTFcP,5.22E-05,6,0.177,-8.689,0,Timeless Interlude,65,10/2/2020,0.0964,148.53,,
24,0.907,2020,0.132,"['DJ Scheme', 'Cordae', 'Ski Mask The Slump God', 'Take A Daytrip']",0.917,228333,0.569,1,3C9D1X8NkG2Ak1RaGpRnnQ,0,7,0.0774,-10.456,1,Soda (feat. Take A Daytrip),66,11/13/2020,0.279,144.014,,
25,0.466,2020,0.109,['Fleet Foxes'],0.562,253613,0.686,0,308prODCCD0O660tIktbUi,0.0225,7,0.125,-8.48,1,Sunblind,66,9/22/2020,0.0249,103.054,,
26,0.169,2020,0.101,['Ã“lafur Arnalds'],0.281,190500,0.0333,0,13MOQ6oQqkrZEDkZOHukCw,0.959,6,0.0995,-31.46,1,We Contain Multitudes (from home),20,8/26/2020,0.0348,90.25,,
27,0.522,2020,0.0846,['Gunna'],0.598,230600,0.472,1,2f8y4CuG57UJEmkG3ujd0D,1.54E-05,0,0.108,-10.991,1,NASTY GIRL / ON CAMERA,20,5/22/2020,0.258,120.08,,
28,0.0838,2020,0.0829,['Najma Wallin'],0.175,133500,0.00759,0,6RuFOroO9VO0aMGEzirLHk,0.925,7,0.113,-35.072,1,Med slutna Ã¶gon,20,2/21/2020,0.0454,70.872,,
29,0.608,2020,0.0732,"['Anuel AA', 'Daddy Yankee', 'KAROL G', 'Ozuna', 'J Balvin']",0.786,301714,0.808,0,0KkIkfsLEJbrcIhYsCL7L5,0.000289,7,0.0822,-3.702,1,China,40,5/29/2020,0.0881,105.029,,
30,0.734,2020,0.0699,['Ashnikko'],0.717,150654,0.753,0,0OStKKAuXlxA0fMH54Qs6E,0,7,0.101,-6.02,1,Halloweenie III: Seven Days,40,10/23/2020,0.0605,137.936,,40
31,0.637,2020,0.0627,['MAMAMOO'],0.634,211280,0.858,0,4BZXVFYCb76Q0Klojq4piV,8.56E-06,4,0.258,-2.226,0,AYA,40,11/3/2020,0.0809,91.688,,40
32,0.195,2020,0.0529,['Eminem'],0.671,337147,0.623,1,5SiZJoLXp3WOl3J4C8IK0d,7.55E-06,2,0.643,-7.161,1,Darkness,40,1/17/2020,0.308,75.055,,40
33,0.642,2020,0.0406,"['KEVVO', 'J Balvin']",0.856,189507,0.721,1,7HmnJHfs0BkFzX4x8j0hkl,0.00471,7,0.182,-4.928,1,Billetes Azules (with J Balvin),40,10/16/2020,0.108,94.991,,40
34,0.329,2020,0.0397,"['Jessie Reyez', '6LACK']",0.712,225213,0.606,1,2shEeQzAAL3nnOXfB5pJXx,1.19E-06,7,0.109,-4.262,1,IMPORTED (with 6LACK),40,3/27/2020,0.0518,111.089,,40
35,0.256,2020,0.0358,['Florida Georgia Line'],0.547,186667,0.511,0,24uZaMwLQ0G8ZQfTt7f64B,0,8,0.15,-5.264,1,Second Guessing - From Songland,40,5/22/2020,0.0275,137.87,,40
36,0.429,2020,0.0259,['Lil Durk'],0.908,178286,0.331,1,3ELLCuwPrhznALIu2UAwVB,0,10,0.0718,-12.706,1,When We Shoot,40,6/26/2020,0.722,139.995,,40
37,0.305,2020,0.0242,"['Zara Larsson', 'Sabrina Carpenter']",0.702,179653,0.744,0,5WokFKscrfGEGGLPTu3jgO,0,6,0.0915,-4.063,0,WOW (feat. Sabrina Carpenter) - Remix,40,9/25/2020,0.0861,77.486,,40
38,0.758,2020,0.00998,['Lil Peep'],0.646,126827,0.647,1,2JfV8E7wsD7eVY5wr69teC,0,1,0.0417,-4.476,1,worlds away,40,9/25/2020,0.0837,155.111,,40
39,0.207,2020,0.00952,['Lil Uzi Vert'],0.71,185439,0.586,1,7vTspUAmMKFkUpKL9HLZNL,0,2,0.193,-5.331,1,Trap This Way (This Way),40,3/13/2020,0.381,175.987,,40
40,0.79,2020,0.00861,['Dua Lipa'],0.47,209583,0.785,0,2nMOodYNHBAQ3Kc1QNimZU,1.55E-06,5,0.0931,-4.015,0,Cool,40,3/27/2020,0.0664,89.717,,40
41,0.58,2020,0.00248,"['Pop Smoke', 'Rowdy Rebel']",0.5,202443,0.767,1,71d7LaAgPcNcUopu3OzmP7,9.79E-05,1,0.385,-4.105,1,Make It Rain (feat. Rowdy Rebel),40,7/3/2020,0.403,159.477,,40
42,0.656,2020,0.000206,['KYLE'],0.84,143476,0.304,1,1AYNmdKudx7JArl2uDy1nv,1.76E-05,0,0.115,-6.52,1,What It Is,40,7/17/2020,0.101,76.474,,40
43,0.691,2020,5.79E-05,"['Jackson Wang', 'Galantis']",0.686,145792,0.867,0,5Rse8If81NbzXL1ARjHOTB,4.18E-05,6,0.396,-4.396,0,Pretty Please,40,9/4/2020,0.0449,126.068,,40